Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km)
STARLINK-32362,2026-06-08T18:06:51Z,-9603.110560117826,278.2923007257497,42.34176264313926,50908349450.84788
STARLINK-32362,2026-06-08T18:06:52Z,-9752.52050576417,282.5538651988099,40.44804007499399,50920815339.69913
STARLINK-32362,2026-06-08T18:06:53Z,-9661.359625413907,271.6373434325309,44.78765983567533,50896548045.1292
STARLINK-32362,2026-06-08T18:06:53Z,-9314.683203576265,271.6373434325309,44.78765983567533,50896548045.1292
STARLINK-32362,2026-06-08T18:06:54Z,-9521.47371931544,276.24221999712,43.15414278410084,50903799273.47408
STARLINK-32362,2026-06-08T18:06:55Z,-9689.531491568847,250.1723497510836,49.22962232154057,50904204418.386765
STARLINK-32362,2026-06-08T18:06:55Z,-8066.281406291551,250.1723497510836,49.22962232154057,50904204418.386765
STARLINK-32362,2026-06-08T18:06:56Z,-8425.444532824302,255.6889173643402,48.52988290661049,50896821526.58433
STARLINK-32362,2026-06-08T18:06:57Z,-8749.644294861371,266.1560189106534,46.3808360462366,50892674514.70962
STARLINK-32362,2026-06-08T18:06:57Z,-9037.471389694743,266.1560189106534,46.3808360462366,50892674514.70962
STARLINK-32362,2026-06-08T18:06:58Z,-9718.118974595716,281.50784887435776,40.92507666055399,50917353716.24108
STARLINK-32362,2026-06-08T18:06:58Z,-9720.73793274122,281.50784887435776,40.92507666055399,50917353716.24108
STARLINK-32362,2026-06-08T18:07:01Z,-9677.877907718057,280.23349341476654,41.4938717204797,50913508369.38768
STARLINK-32362,2026-06-08T18:07:02Z,-9300.457681551768,280.2770230722096,41.472141514033055,50913633875.94943
STARLINK-32362,2026-06-08T18:07:02Z,-9679.792312640062,280.2770230722096,41.472141514033055,50913633875.94943
STARLINK-32362,2026-06-08T18:07:03Z,-9727.795387948914,281.68365691473815,40.83533712919189,50917910990.35394
STARLINK-32362,2026-06-08T18:07:04Z,-9187.945357448696,268.9914877478841,45.58233813549563,50894169628.490555
STARLINK-32362,2026-06-08T18:07:06Z,-9660.975813955347,279.7183960858862,41.708807522559965,50912067183.683334
STARLINK-32362,2026-06-08T18:07:07Z,-9686.411671354388,280.427998769258,41.396501385396974,50914071689.99969
STARLINK-32362,2026-06-08T18:07:08Z,-9712.474061590485,281.9297777961396,40.711219973944296,50918702385.77988
STARLINK-32362,2026-06-08T18:07:08Z,-9737.231895320061,281.9297777961396,40.711219973944296,50918702385.77988
STARLINK-32362,2026-06-08T18:07:09Z,-8186.102945192226,251.89039198744393,49.00927616542419,50901879060.227646
STARLINK-32362,2026-06-08T18:07:10Z,-8536.371427768712,262.69249269288844,47.18732164912162,50892696045.39923
STARLINK-32362,2026-06-08T18:07:10Z,-8850.766209951153,262.69249269288844,47.18732164912162,50892696045.39923
STARLINK-32362,2026-06-08T18:07:11Z,-9126.313152720782,267.74190385218617,45.923441132263044,50893475818.680664
STARLINK-32362,2026-06-08T18:07:12Z,-9362.527886185027,277.073627949676,42.7927209272642,50905600379.11535
STARLINK-32362,2026-06-08T18:07:12Z,-9561.367562032256,277.073627949676,42.7927209272642,50905600379.11535
STARLINK-32362,2026-06-08T18:07:13Z,-9743.146463504025,279.31514743344906,41.86821747237733,50910987919.23377
STARLINK-32362,2026-06-08T18:07:13Z,-9648.37119749045,279.31514743344906,41.86821747237733,50910987919.23377
STARLINK-32362,2026-06-08T18:07:14Z,-9002.139321839244,265.3860280169585,46.54012995041621,50892711247.61446
STARLINK-32362,2026-06-08T18:07:15Z,-9676.267269399174,280.0757647914925,41.5365995780695,50913066431.465866
STARLINK-32362,2026-06-08T18:07:17Z,-9540.922774715886,280.8960457101783,41.16724863292998,50915454949.41316
STARLINK-32362,2026-06-08T18:07:17Z,-9705.550431530988,280.8960457101783,41.16724863292998,50915454949.41316
STARLINK-32362,2026-06-08T18:07:18Z,-9751.379816538287,282.2897755126932,40.52410506695266,50919878685.337425
STARLINK-32362,2026-06-08T18:07:19Z,-9230.543946542337,274.43476896805043,43.77479842736409,50900622877.43346
STARLINK-32362,2026-06-08T18:07:19Z,-9452.088053718093,274.43476896805043,43.77479842736409,50900622877.43346
STARLINK-32362,2026-06-08T18:07:20Z,-9634.297962126986,278.88407122574637,42.038140523213194,50909877996.87479
STARLINK-32362,2026-06-08T18:07:21Z,-9776.435143500179,253.51731320969822,48.77752695920445,50899921588.38441
STARLINK-32362,2026-06-08T18:07:21Z,-8297.147663752941,253.51731320969822,48.77752695920445,50899921588.38441
STARLINK-32362,2026-06-08T18:07:22Z,-8634.774479089283,258.92577731310286,47.92484195761658,50894553518.46472
STARLINK-32362,2026-06-08T18:07:23Z,-8936.55461244485,279.7371853154106,41.667551430412935,50912131974.72969
