Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours),Timestamp
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:55.499111,-250076.23537808104,17.45292802684517,27.39915791067588,1466.501117739354,14.657152615555557,2026-06-12 20:50:55.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:56.499111,-250266.5661863773,17.31338372112738,27.391845118323147,1472.9805588748857,14.657152615555557,2026-06-12 20:50:56.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:57.499111,-250454.10769511355,17.174794405832092,27.3846425112922,1479.4648933476717,14.657152615555557,2026-06-12 20:50:57.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:58.499111,-250638.9051965488,17.03714829982075,27.377548410599985,1485.954049503381,14.657152615555557,2026-06-12 20:50:58.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:50:59.499111,-250821.0030896535,16.90043380096083,27.370561171833973,1492.447956849128,14.657152615555557,2026-06-12 20:50:59.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:00.499111,-251000.44489986703,16.764639483066233,27.36367918425628,1498.946546030671,14.657152615555557,2026-06-12 20:51:00.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:01.499111,-251177.27329838523,16.629754092894547,27.35690086993885,1505.4497488098489,14.657152615555557,2026-06-12 20:51:01.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:02.499111,-251351.53012099836,16.495766547186964,27.350224682953204,1511.957498043094,14.657152615555557,2026-06-12 20:51:02.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:03.499111,-251523.256386466,16.362665929780384,27.34364910853999,1518.4697276593065,14.657152615555557,2026-06-12 20:51:03.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:04.499111,-251692.49231449768,16.230441488735163,27.337172662349253,1524.9863726399817,14.657152615555557,2026-06-12 20:51:04.499111
STARLINK-5989,56781,0,unknown,2026-06-12T20:51:05.499111,-251859.27734325317,16.099082633560464,27.33079388966612,1531.507368997433,14.657152615555557,2026-06-12 20:51:05.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:11.499111,97185.48252306518,37.25742711833056,230.59759939682047,758.7594944717468,14.580510303611112,2026-06-12 20:51:11.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:12.499111,94995.62140735298,37.428608333126064,229.98522417905684,756.2707051762006,14.580510303611112,2026-06-12 20:51:12.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:13.499111,92784.17714442304,37.59724015593032,229.36601748811435,753.8389132931552,14.580510303611112,2026-06-12 20:51:13.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:14.499111,90551.37925111785,37.76320671632369,228.74001243088009,751.4646748971027,14.580510303611112,2026-06-12 20:51:14.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:15.499111,88297.47736087427,37.9263912390623,228.1072493566812,749.1485398582076,14.580510303611112,2026-06-12 20:51:15.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:16.499111,86022.74147411477,38.08667621237754,227.46777610345717,746.8910513178141,14.580510303611112,2026-06-12 20:51:16.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:17.499111,83727.46217399709,38.24394356619389,226.82164823442417,744.692745158184,14.580510303611112,2026-06-12 20:51:17.499111
STARLINK-6272,56420,0,unknown,2026-06-12T20:51:18.499111,81411.9508053613,38.3980748601309,226.1689292634812,742.5541494667746,14.580510303611112,2026-06-12 20:51:18.499111
