Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-30776,2026-06-08T18:11:37Z,-85277.83379896566,89.74813894688926,70.47533884683742,593.2081372319901,2026-06-08 18:11:37+00:00
STARLINK-30776,2026-06-08T18:11:38Z,-88056.45091573325,89.58138894225999,69.8166482761156,595.4544367671313,2026-06-08 18:11:38+00:00
STARLINK-30776,2026-06-08T18:11:39Z,-90803.20703870112,89.42610999833983,69.16260803666343,597.77234053838,2026-06-08 18:11:39+00:00
STARLINK-30776,2026-06-08T18:11:40Z,-93517.61451923524,89.28117842690652,68.51332771598302,600.1610163364563,2026-06-08 18:11:40+00:00
STARLINK-30776,2026-06-08T18:11:41Z,-96199.233085209,89.14561240952337,67.86890871375397,602.6196198932549,2026-06-08 18:11:41+00:00
STARLINK-30776,2026-06-08T18:11:42Z,-98847.6692376678,89.01855032160998,67.22944457213309,605.1472962923011,2026-06-08 18:11:42+00:00
STARLINK-30776,2026-06-08T18:11:43Z,-101462.57499577952,88.89923292914355,66.59502139192318,607.7431808555383,2026-06-08 18:11:43+00:00
STARLINK-30776,2026-06-08T18:11:44Z,-104043.64706876554,88.7869886333385,65.96571808851024,610.4064004818068,2026-06-08 18:11:44+00:00
STARLINK-30776,2026-06-08T18:11:45Z,-106590.62583463272,88.68122119540391,65.34160664617438,613.136074889596,2026-06-08 18:11:45+00:00
STARLINK-30776,2026-06-08T18:11:46Z,-109103.29389899866,88.5813994780174,64.7227524361562,615.9313174672678,2026-06-08 18:11:46+00:00
STARLINK-30776,2026-06-08T18:11:47Z,-111581.47512008274,88.48704879741199,64.10921438854123,618.7912366609352,2026-06-08 18:11:47+00:00
STARLINK-30776,2026-06-08T18:11:48Z,-114025.03302227934,88.39774363485927,63.501045288005606,621.7149367305042,2026-06-08 18:11:48+00:00
STARLINK-30776,2026-06-08T18:11:49Z,-116433.8696146036,88.31310143312703,62.8982919483239,624.7015189801959,2026-06-08 18:11:49+00:00
STARLINK-30776,2026-06-08T18:11:50Z,-118807.92390198416,88.23277731605434,62.30099544526054,627.7500826582512,2026-06-08 18:11:50+00:00
STARLINK-30776,2026-06-08T18:11:51Z,-121147.1703839943,88.15645956693179,61.70919133916274,630.8597258311156,2026-06-08 18:11:51+00:00
STARLINK-30776,2026-06-08T18:11:52Z,-123451.6176754664,88.08386573777992,61.12290985586094,634.0295464137954,2026-06-08 18:11:52+00:00
STARLINK-30776,2026-06-08T18:11:53Z,-125721.30694136888,88.01473929793283,60.54217610603046,637.2586429481302,2026-06-08 18:11:53+00:00
STARLINK-30776,2026-06-08T18:11:54Z,-127956.31040404578,87.94884673021507,59.96701028041206,640.5461154487938,2026-06-08 18:11:54+00:00
STARLINK-30776,2026-06-08T18:11:55Z,-130156.72982839792,87.88597500906808,59.39742784661106,643.8910661882163,2026-06-08 18:11:55+00:00
STARLINK-30776,2026-06-08T18:11:56Z,-132322.69502427397,87.82592940251914,58.83343973919453,647.2926004670765,2026-06-08 18:11:56+00:00
STARLINK-30776,2026-06-08T18:11:57Z,-134454.3622656358,87.76853155317328,58.27505257089182,650.7498272008376,2026-06-08 18:11:57+00:00
STARLINK-30776,2026-06-08T18:11:58Z,-136551.91296324652,87.71361778983925,57.72226877825115,654.2618598530123,2026-06-08 18:11:58+00:00
STARLINK-30776,2026-06-08T18:11:59Z,-138615.55199518148,87.66103765201758,57.17508685874706,657.827816750547,2026-06-08 18:11:59+00:00
STARLINK-30776,2026-06-08T18:12:00Z,-140645.50634686556,87.61065258230654,56.63350153001406,661.446821818461,2026-06-08 18:12:00+00:00
STARLINK-30776,2026-06-08T18:12:01Z,-142642.0237536231,87.56233477134367,56.09750389155815,665.1180052623198,2026-06-08 18:12:01+00:00
STARLINK-30776,2026-06-08T18:12:02Z,-144605.37117681047,87.51596613889083,55.56708163575895,668.8405038600445,2026-06-08 18:12:02+00:00
STARLINK-30776,2026-06-08T18:12:03Z,-146535.8335255361,87.4714374241689,55.04221919878329,672.6134615956296,2026-06-08 18:12:03+00:00
STARLINK-30776,2026-06-08T18:12:04Z,-148433.71227476414,87.42864737916332,54.522897945310255,676.4360300026925,2026-06-08 18:12:04+00:00
STARLINK-30776,2026-06-08T18:12:05Z,-150299.3241908584,87.38750204746295,54.00909633090755,680.3073686006004,2026-06-08 18:12:05+00:00
STARLINK-30776,2026-06-08T18:12:06Z,-152133.00016046825,87.34791411825684,53.50079004272829,684.226645440019,2026-06-08 18:12:06+00:00
STARLINK-30776,2026-06-08T18:12:07Z,-153935.08387699185,87.30980235132593,52.99795218682706,688.1930372355707,2026-06-08 18:12:07+00:00
STARLINK-30776,2026-06-08T18:12:08Z,-155705.9306916829,87.27309105847849,52.500553438121656,692.2057297072203,2026-06-08 18:12:08+00:00
STARLINK-30776,2026-06-08T18:12:09Z,-157445.90655489045,87.23770963629163,52.00856217274857,696.2639180073438,2026-06-08 18:12:09+00:00
STARLINK-30776,2026-06-08T18:12:10Z,-159155.3868777099,87.20359214750779,51.521944630766754,700.3668068421551,2026-06-08 18:12:10+00:00
STARLINK-30776,2026-06-08T18:12:11Z,-160834.75557180768,87.17067694068477,51.04066503676251,704.5136108745143,2026-06-08 18:12:11+00:00
